"id","lie","self","sex","age","pr_speed","wrkn_mem","mrt"
53,"no","yes","F",19,18,14,931.198113207547
53,"yes","no","F",19,18,14,1079.25242718447
53,"yes","yes","F",19,18,14,986.980952380952
54,"no","no","F",19,32,20,1287.24074074074
54,"no","yes","F",19,32,20,1094.49541284404
54,"yes","no","F",19,32,20,1559.00952380952
54,"yes","yes","F",19,32,20,1270.84259259259
55,"no","no","F",19,23,16,1787.375
55,"no","yes","F",19,23,16,1547.48148148148
55,"yes","no","F",19,23,16,1969.8932038835
55,"yes","yes","F",19,23,16,1657.74757281553
56,"no","no","M",19,20,20,1272.95
56,"no","yes","M",19,20,20,1238.95918367347
56,"yes","no","M",19,20,20,1775.59
56,"yes","yes","M",19,20,20,1300.30612244898
57,"no","no","F",20,18,18,1690.48623853211
57,"no","yes","F",20,18,18,1321.7962962963
57,"yes","no","F",20,18,18,1692.75925925926
57,"yes","yes","F",20,18,18,1316.74074074074
58,"no","no","F",19,22,12,1432.85576923077
58,"no","yes","F",19,22,12,1361.49541284404
58,"yes","no","F",19,22,12,1955.70093457944
58,"yes","yes","F",19,22,12,1796.06422018349
59,"no","no","F",19,18,10,1190.78095238095
59,"no","yes","F",19,18,10,1044.41346153846
59,"yes","no","F",19,18,10,1373.11320754717
59,"yes","yes","F",19,18,10,1248.66355140187
60,"no","no","F",19,26,13,1632.4380952381
60,"no","yes","F",19,26,13,1268.55238095238
60,"yes","no","F",19,26,13,1786.71717171717
60,"yes","yes","F",19,26,13,1614.70707070707
61,"no","no","F",19,25,17,1215.08333333333
61,"no","yes","F",19,25,17,1051.88073394495
61,"yes","no","F",19,25,17,1519.0297029703
61,"yes","yes","F",19,25,17,1215.71296296296
62,"no","no","F",20,24,21,1421.43396226415
62,"no","yes","F",20,24,21,1234.2358490566
62,"yes","no","F",20,24,21,1513.84782608696
62,"yes","yes","F",20,24,21,1395.83838383838
63,"no","no","M",19,24,23,1453.8640776699
63,"no","yes","M",19,24,23,1308.29523809524
63,"yes","no","M",19,24,23,1727.46
63,"yes","yes","M",19,24,23,1532.15789473684
64,"no","no","M",21,16,11,1700.28440366972
64,"no","yes","M",21,16,11,1331.09174311927
64,"yes","no","M",21,16,11,1970.14150943396
64,"yes","yes","M",21,16,11,1701.46226415094
65,"no","no","F",23,15,21,1317.66666666667
65,"no","yes","F",23,15,21,1090.42592592593
65,"yes","no","F",23,15,21,1871.06542056075
65,"yes","yes","F",23,15,21,1731.27102803738
66,"no","no","M",32,20,20,1702.67307692308
66,"no","yes","M",32,20,20,1234.80487804878
66,"yes","no","M",32,20,20,1613.70192307692
66,"yes","yes","M",32,20,20,1386.11904761905
67,"no","no","F",19,20,16,1276.86666666667
67,"no","yes","F",19,20,16,1108.47777777778
67,"yes","no","F",19,20,16,1384.98901098901
67,"yes","yes","F",19,20,16,1156.49450549451
68,"no","no","F",20,21,19,1617.44117647059
68,"no","yes","F",20,21,19,1350.29523809524
68,"yes","no","F",20,21,19,1963.79797979798
68,"yes","yes","F",20,21,19,1706.82828282828
69,"no","no","F",19,24,16,1311.93333333333
69,"no","yes","F",19,24,16,1057.93518518519
69,"yes","no","F",19,24,16,1548.95698924731
69,"yes","yes","F",19,24,16,1334.16494845361
70,"no","no","F",19,20,26,1743.42056074766
70,"no","yes","F",19,20,26,1270.88679245283
70,"yes","no","F",19,20,26,2053.19387755102
70,"yes","yes","F",19,20,26,1554.92708333333
71,"no","no","F",20,17,17,1489.38095238095
71,"no","yes","F",20,17,17,1217.36697247706
